Accession	Description	Organism	Length
A0A2K6ETP5	BICD cargo adaptor 2 OS=Propithecus coquereli OX=379532 GN=BICD2 PE=3 SV=1	Propithecus coquereli	853
A0A2R9B954	BICD cargo adaptor 2 OS=Pan paniscus OX=9597 GN=BICD2 PE=3 SV=1	Pan paniscus	840
A0A8C5UYX2	BICD cargo adaptor 2 OS=Microcebus murinus OX=30608 GN=BICD2 PE=3 SV=1	Microcebus murinus	824
H0WL58	BICD cargo adaptor 2 OS=Otolemur garnettii OX=30611 GN=BICD2 PE=3 SV=1	Otolemur garnettii	861
A0A8C5VGF6	BICD cargo adaptor 2 OS=Microcebus murinus OX=30608 GN=BICD2 PE=3 SV=1	Microcebus murinus	853
A0A2K6ETR7	BICD cargo adaptor 2 OS=Propithecus coquereli OX=379532 GN=BICD2 PE=3 SV=1	Propithecus coquereli	832
A0A8C5KV80	BICD cargo adaptor 2 OS=Jaculus jaculus OX=51337 GN=Bicd2 PE=3 SV=1	Jaculus jaculus	857
A0A8D2CSG3	BICD cargo adaptor 2 OS=Sciurus vulgaris OX=55149 GN=BICD2 PE=3 SV=1	Sciurus vulgaris	825
A0A1S3G1D6	Protein bicaudal D homolog 2 isoform X2 OS=Dipodomys ordii OX=10020 GN=Bicd2 PE=3 SV=1	Dipodomys ordii	827
A0A1S3FZ92	Protein bicaudal D homolog 2 isoform X1 OS=Dipodomys ordii OX=10020 GN=Bicd2 PE=3 SV=1	Dipodomys ordii	858
A0A287DE24	BICD cargo adaptor 2 OS=Ictidomys tridecemlineatus OX=43179 GN=BICD2 PE=3 SV=1	Ictidomys tridecemlineatus	824
A0A287CW43	BICD cargo adaptor 2 OS=Ictidomys tridecemlineatus OX=43179 GN=BICD2 PE=3 SV=1	Ictidomys tridecemlineatus	855
I3NF79	BICD cargo adaptor 2 OS=Ictidomys tridecemlineatus OX=43179 GN=BICD2 PE=3 SV=2	Ictidomys tridecemlineatus	825
A0A5E4BZG0	Protein bicaudal D homolog 2 OS=Marmota monax OX=9995 GN=MONAX_5E033124 PE=3 SV=1	Marmota monax	824
A0A2K6TN39	BICD cargo adaptor 2 OS=Saimiri boliviensis boliviensis OX=39432 GN=BICD2 PE=3 SV=1	Saimiri boliviensis boliviensis	842
A0A5E4C0F8	BICD cargo adaptor 2 OS=Marmota monax OX=9995 GN=MONAX_5E033124 PE=3 SV=1	Marmota monax	855
A0A8D2HAY5	BICD cargo adaptor 2 OS=Urocitellus parryii OX=9999 GN=BICD2 PE=3 SV=1	Urocitellus parryii	819
A0A8C5Z2W4	BICD cargo adaptor 2 OS=Marmota marmota marmota OX=9994 GN=BICD2 PE=3 SV=1	Marmota marmota marmota	819
A0A8C5Z0B0	BICD cargo adaptor 2 OS=Marmota marmota marmota OX=9994 GN=BICD2 PE=3 SV=1	Marmota marmota marmota	850
A0A5F9CW65	BICD cargo adaptor 2 OS=Oryctolagus cuniculus OX=9986 GN=BICD2 PE=3 SV=1	Oryctolagus cuniculus	908
A0A6P3FV50	Protein bicaudal D homolog 2 isoform X2 OS=Octodon degus OX=10160 GN=Bicd2 PE=3 SV=1	Octodon degus	825
Q921C5	Protein bicaudal D homolog 2 OS=Mus musculus OX=10090 GN=Bicd2 PE=1 SV=1	Mus musculus	820
A0A8C2UHB7	BICD cargo adaptor 2 OS=Chinchilla lanigera OX=34839 GN=BICD2 PE=3 SV=1	Chinchilla lanigera	825
G1SZW5	BICD cargo adaptor 2 OS=Oryctolagus cuniculus OX=9986 GN=BICD2 PE=3 SV=1	Oryctolagus cuniculus	855
A0A6P3FI26	Protein bicaudal D homolog 2 isoform X1 OS=Octodon degus OX=10160 GN=Bicd2 PE=3 SV=1	Octodon degus	856
Q921C5-2	Isoform 2 of Protein bicaudal D homolog 2 OS=Mus musculus OX=10090 GN=Bicd2	Mus musculus	851
A0A8C6RZ62	BICD cargo adaptor 2 OS=Nannospalax galili OX=1026970 GN=Bicd2 PE=3 SV=1	Nannospalax galili	820
A0A1U7QHR6	Protein bicaudal D homolog 2 isoform X2 OS=Mesocricetus auratus OX=10036 GN=Bicd2 PE=3 SV=1	Mesocricetus auratus	820
H0VAM5	BICD cargo adaptor 2 OS=Cavia porcellus OX=10141 GN=BICD2 PE=3 SV=2	Cavia porcellus	825
A0A8C6RWW9	BICD cargo adaptor 2 OS=Nannospalax galili OX=1026970 GN=Bicd2 PE=3 SV=1	Nannospalax galili	853
A0A1U7QF80	Protein bicaudal D homolog 2 isoform X1 OS=Mesocricetus auratus OX=10036 GN=Bicd2 PE=3 SV=1	Mesocricetus auratus	851
A0A286XTY8	BICD cargo adaptor 2 OS=Cavia porcellus OX=10141 GN=BICD2 PE=3 SV=1	Cavia porcellus	856
A0A8C6N3W3	Protein bicaudal D homolog 2 OS=Mus spicilegus OX=10103 PE=3 SV=1	Mus spicilegus	820
A0A8C6IBM1	Protein bicaudal D homolog 2 OS=Mus spicilegus OX=10103 PE=3 SV=1	Mus spicilegus	820
A0A8C6IDC6	inositol-pentakisphosphate 2-kinase OS=Mus spicilegus OX=10103 PE=3 SV=1	Mus spicilegus	1281
A0A8J6KZS7	Protein bicaudal D-like protein 2 OS=Microtus ochrogaster OX=79684 GN=LTLLF_124620 PE=3 SV=1	Microtus ochrogaster	856
A0A6I9LXN9	BICD cargo adaptor 2 OS=Peromyscus maniculatus bairdii OX=230844 GN=Bicd2 PE=3 SV=1	Peromyscus maniculatus bairdii	819
A0A6I9M8M2	BICD cargo adaptor 2 OS=Peromyscus maniculatus bairdii OX=230844 GN=Bicd2 PE=3 SV=1	Peromyscus maniculatus bairdii	850
G3UHE4	BICD cargo adaptor 2 OS=Loxodonta africana OX=9785 GN=BICD2 PE=3 SV=1	Loxodonta africana	852
Q496Z1	BICD cargo adaptor 2 OS=Rattus norvegicus OX=10116 GN=Bicd2 PE=1 SV=1	Rattus norvegicus	851
A0A8J8Y893	BICD cargo adaptor 2 OS=Rattus norvegicus OX=10116 GN=Bicd2 PE=1 SV=1	Rattus norvegicus	837
A0A8C2UHC3	BICD cargo adaptor 2 OS=Chinchilla lanigera OX=34839 GN=BICD2 PE=3 SV=1	Chinchilla lanigera	851
A0A2Y9RIY0	Protein bicaudal D homolog 2 isoform X2 OS=Trichechus manatus latirostris OX=127582 GN=LOC101357736 PE=3 SV=1	Trichechus manatus latirostris	821
A0A2Y9DZD3	Protein bicaudal D homolog 2 isoform X1 OS=Trichechus manatus latirostris OX=127582 GN=LOC101357736 PE=3 SV=1	Trichechus manatus latirostris	852
A0A8B7U2W0	LOW QUALITY PROTEIN: protein bicaudal D homolog 2 OS=Castor canadensis OX=51338 GN=Bicd2 PE=3 SV=1	Castor canadensis	836
A0A9B0UB50	Protein bicaudal D homolog 2 OS=Chrysochloris asiatica OX=185453 GN=BICD2 PE=3 SV=1	Chrysochloris asiatica	852
A0A8B7AUA5	Protein bicaudal D homolog 2 OS=Orycteropus afer afer OX=1230840 GN=BICD2 PE=3 SV=1	Orycteropus afer afer	852
G3RH83	BICD cargo adaptor 2 OS=Gorilla gorilla gorilla OX=9595 GN=BICD2 PE=3 SV=2	Gorilla gorilla gorilla	830
A0A2I2YFW5	BICD cargo adaptor 2 OS=Gorilla gorilla gorilla OX=9595 GN=BICD2 PE=3 SV=1	Gorilla gorilla gorilla	746
H2QXG9	BICD cargo adaptor 2 OS=Pan troglodytes OX=9598 GN=BICD2 PE=3 SV=2	Pan troglodytes	818
A0A2I3S8V7	BICD cargo adaptor 2 OS=Pan troglodytes OX=9598 GN=BICD2 PE=3 SV=1	Pan troglodytes	824
A0A340Y4R0	Protein bicaudal D homolog 2 isoform X2 OS=Lipotes vexillifer OX=118797 GN=BICD2 PE=3 SV=1	Lipotes vexillifer	805
A0A2Y9FHT0	Protein bicaudal D homolog 2 isoform X2 OS=Physeter macrocephalus OX=9755 GN=BICD2 PE=3 SV=1	Physeter macrocephalus	805
A0A2I3TMN5	BICD cargo adaptor 2 OS=Pan troglodytes OX=9598 GN=BICD2 PE=3 SV=1	Pan troglodytes	855
A0A340Y779	Protein bicaudal D homolog 2 isoform X1 OS=Lipotes vexillifer OX=118797 GN=BICD2 PE=3 SV=1	Lipotes vexillifer	836
A0A2Y9FJL0	Protein bicaudal D homolog 2 isoform X1 OS=Physeter macrocephalus OX=9755 GN=BICD2 PE=3 SV=1	Physeter macrocephalus	836
A0A8C9BDV3	BICD cargo adaptor 2 OS=Phocoena sinus OX=42100 GN=BICD2 PE=3 SV=1	Phocoena sinus	805
A0A341AFQ9	Protein bicaudal D homolog 2 isoform X2 OS=Neophocaena asiaeorientalis asiaeorientalis OX=1706337 GN=BICD2 PE=3 SV=1	Neophocaena asiaeorientalis asiaeorientalis	805
A0A2U4BSE2	Protein bicaudal D homolog 2 isoform X2 OS=Tursiops truncatus OX=9739 GN=BICD2 PE=3 SV=1	Tursiops truncatus	805
A0A2Y9MDG5	Protein bicaudal D homolog 2 isoform X2 OS=Delphinapterus leucas OX=9749 GN=BICD2 PE=3 SV=1	Delphinapterus leucas	805
A0A8B8XNM3	Protein bicaudal D homolog 2 isoform X2 OS=Balaenoptera musculus OX=9771 GN=BICD2 PE=3 SV=1	Balaenoptera musculus	805
A0A341AGJ8	Protein bicaudal D homolog 2 isoform X1 OS=Neophocaena asiaeorientalis asiaeorientalis OX=1706337 GN=BICD2 PE=3 SV=1	Neophocaena asiaeorientalis asiaeorientalis	836
A0A2U3V9E1	Protein bicaudal D homolog 2 isoform X1 OS=Tursiops truncatus OX=9739 GN=BICD2 PE=3 SV=1	Tursiops truncatus	836
A0A2Y9MMK3	Protein bicaudal D homolog 2 isoform X1 OS=Delphinapterus leucas OX=9749 GN=BICD2 PE=3 SV=1	Delphinapterus leucas	836
A0A8B8XPM2	Protein bicaudal D homolog 2 isoform X1 OS=Balaenoptera musculus OX=9771 GN=BICD2 PE=3 SV=1	Balaenoptera musculus	836
A0A2K6TN59	BICD cargo adaptor 2 OS=Saimiri boliviensis boliviensis OX=39432 GN=BICD2 PE=3 SV=1	Saimiri boliviensis boliviensis	749
A0A2K5HPN0	BICD cargo adaptor 2 OS=Colobus angolensis palliatus OX=336983 PE=3 SV=1	Colobus angolensis palliatus	746
A0A2K5HPQ3	BICD cargo adaptor 2 OS=Colobus angolensis palliatus OX=336983 PE=3 SV=1	Colobus angolensis palliatus	819
A0A8I3WW51	BICD cargo adaptor 2 OS=Callithrix jacchus OX=9483 GN=BICD2 PE=3 SV=1	Callithrix jacchus	877
A0A2K6TN32	BICD cargo adaptor 2 OS=Saimiri boliviensis boliviensis OX=39432 GN=BICD2 PE=3 SV=1	Saimiri boliviensis boliviensis	780
A0A2K5XQC5	BICD cargo adaptor 2 OS=Mandrillus leucophaeus OX=9568 GN=BICD2 PE=3 SV=1	Mandrillus leucophaeus	746
A0A8M1F2K9	Protein bicaudal D homolog 2 isoform X3 OS=Ursus maritimus OX=29073 GN=BICD2 PE=3 SV=1	Ursus maritimus	805
A0A452RFE6	BICD cargo adaptor 2 OS=Ursus americanus OX=9643 GN=BICD2 PE=3 SV=1	Ursus americanus	836
A0A8M1EYW7	Protein bicaudal D homolog 2 isoform X1 OS=Ursus maritimus OX=29073 GN=BICD2 PE=3 SV=1	Ursus maritimus	836
A0A8M1F607	Protein bicaudal D homolog 2 isoform X2 OS=Ursus maritimus OX=29073 GN=BICD2 PE=3 SV=1	Ursus maritimus	808
A0A2Y9K4V0	Protein bicaudal D homolog 2 isoform X2 OS=Enhydra lutris kenyoni OX=391180 GN=LOC111153542 PE=3 SV=1	Enhydra lutris kenyoni	805
A0A8U0N3U7	Protein bicaudal D homolog 2 isoform X2 OS=Mustela putorius furo OX=9669 GN=BICD2 PE=3 SV=1	Mustela putorius furo	805
A0A2Y9KFZ6	Protein bicaudal D homolog 2 isoform X1 OS=Enhydra lutris kenyoni OX=391180 GN=LOC111153542 PE=3 SV=1	Enhydra lutris kenyoni	836
A0A8C7BG64	BICD cargo adaptor 2 OS=Neovison vison OX=452646 GN=BICD2 PE=3 SV=1	Neovison vison	805
M3XZI8	BICD cargo adaptor 2 OS=Mustela putorius furo OX=9669 GN=BICD2 PE=3 SV=1	Mustela putorius furo	836
A0A8C7BQG2	BICD cargo adaptor 2 OS=Neovison vison OX=452646 GN=BICD2 PE=3 SV=1	Neovison vison	836
A0A8C3X9S7	BICD cargo adaptor 2 OS=Catagonus wagneri OX=51154 GN=BICD2 PE=3 SV=1	Catagonus wagneri	805
A0A8I3PLU4	BICD cargo adaptor 2 OS=Canis lupus familiaris OX=9615 GN=BICD2 PE=3 SV=1	Canis lupus familiaris	805
A0A3Q7R4A2	Protein bicaudal D homolog 2 isoform X2 OS=Vulpes vulpes OX=9627 GN=BICD2 PE=3 SV=1	Vulpes vulpes	805
A0A8I3PLZ6	BICD cargo adaptor 2 OS=Canis lupus familiaris OX=9615 GN=BICD2 PE=3 SV=1	Canis lupus familiaris	836
A0A8C0K617	BICD cargo adaptor 2 OS=Canis lupus dingo OX=286419 GN=BICD2 PE=3 SV=1	Canis lupus dingo	836
G1S3E3	BICD cargo adaptor 2 OS=Nomascus leucogenys OX=61853 GN=BICD2 PE=3 SV=2	Nomascus leucogenys	834
A0A9L0RUD6	BICD cargo adaptor 2 OS=Equus caballus OX=9796 GN=BICD2 PE=3 SV=1	Equus caballus	892
A0A3Q7RDD7	Protein bicaudal D homolog 2 isoform X1 OS=Vulpes vulpes OX=9627 GN=BICD2 PE=3 SV=1	Vulpes vulpes	836
A0A8C4M3Y5	BICD cargo adaptor 2 OS=Equus asinus OX=9793 GN=BICD2 PE=3 SV=2	Equus asinus	805
A0A484GY96	BICD cargo adaptor 2 OS=Sousa chinensis OX=103600 GN=DBR06_SOUSAS26010022 PE=3 SV=1	Sousa chinensis	843
A0A9L0TH97	BICD cargo adaptor 2 OS=Equus caballus OX=9796 GN=BICD2 PE=3 SV=1	Equus caballus	832
A0A2K5E699	BICD cargo adaptor 2 OS=Aotus nancymaae OX=37293 GN=BICD2 PE=3 SV=1	Aotus nancymaae	779
A0A2U3VFW9	Protein bicaudal D homolog 2 isoform X2 OS=Odobenus rosmarus divergens OX=9708 GN=BICD2 PE=3 SV=1	Odobenus rosmarus divergens	805
A0A9L0IXN5	BICD cargo adaptor 2 OS=Equus asinus OX=9793 GN=BICD2 PE=3 SV=1	Equus asinus	836
A0A3Q7QPJ3	Protein bicaudal D homolog 2 isoform X2 OS=Callorhinus ursinus OX=34884 GN=LOC112838951 PE=3 SV=1	Callorhinus ursinus	805
A0A2U3VGB6	Protein bicaudal D homolog 2 isoform X1 OS=Odobenus rosmarus divergens OX=9708 GN=BICD2 PE=3 SV=1	Odobenus rosmarus divergens	836
A0A3Q7QPA9	Protein bicaudal D homolog 2 isoform X1 OS=Callorhinus ursinus OX=34884 GN=LOC112838908 PE=3 SV=1	Callorhinus ursinus	836
A0A2K6TN45	BICD cargo adaptor 2 OS=Saimiri boliviensis boliviensis OX=39432 GN=BICD2 PE=3 SV=1	Saimiri boliviensis boliviensis	779
A0A6J0WQN4	Protein bicaudal D homolog 2 isoform X2 OS=Odocoileus virginianus texanus OX=9880 GN=BICD2 PE=3 SV=1	Odocoileus virginianus texanus	805
A0A2K5RC91	BICD cargo adaptor 2 OS=Cebus imitator OX=2715852 PE=3 SV=1	Cebus imitator	779
A0A811ZSV7	(raccoon dog) hypothetical protein OS=Nyctereutes procyonoides OX=34880 GN=NYPRO_LOCUS24776 PE=3 SV=1	Nyctereutes procyonoides	945
A0A287AJT8	BICD cargo adaptor 2 OS=Sus scrofa OX=9823 GN=BICD2 PE=3 SV=1	Sus scrofa	836
A0A452FM02	BICD cargo adaptor 2 OS=Capra hircus OX=9925 GN=BICD2 PE=3 SV=1	Capra hircus	808
A0A6J0WMA1	Protein bicaudal D homolog 2 isoform X1 OS=Odocoileus virginianus texanus OX=9880 GN=BICD2 PE=3 SV=1	Odocoileus virginianus texanus	836
G1M4N7	BICD cargo adaptor 2 OS=Ailuropoda melanoleuca OX=9646 GN=BICD2 PE=3 SV=2	Ailuropoda melanoleuca	805
A0A7N5K3G8	BICD cargo adaptor 2 OS=Ailuropoda melanoleuca OX=9646 GN=BICD2 PE=3 SV=1	Ailuropoda melanoleuca	868
A0A6P6IGP9	Protein bicaudal D homolog 2 isoform X2 OS=Puma concolor OX=9696 GN=BICD2 PE=3 SV=1	Puma concolor	805
A0A8B9XKX0	BICD cargo adaptor 2 OS=Bos mutus grunniens OX=30521 GN=BICD2 PE=3 SV=1	Bos mutus grunniens	805
G3N3P0	BICD cargo adaptor 2 OS=Bos taurus OX=9913 GN=BICD2 PE=3 SV=2	Bos taurus	805
A0A4W2G2Q6	BICD cargo adaptor 2 OS=Bos indicus x Bos taurus OX=30522 GN=BICD2 PE=3 SV=1	Bos indicus x Bos taurus	805
A0A6P6IGI7	Protein bicaudal D homolog 2 isoform X1 OS=Puma concolor OX=9696 GN=BICD2 PE=3 SV=1	Puma concolor	836
A0A8B9XG46	BICD cargo adaptor 2 OS=Bos mutus grunniens OX=30521 GN=BICD2 PE=3 SV=1	Bos mutus grunniens	836
A0A4W2D949	BICD cargo adaptor 2 OS=Bos indicus x Bos taurus OX=30522 GN=BICD2 PE=3 SV=1	Bos indicus x Bos taurus	836
A0A6J1XWU0	Protein bicaudal D homolog 2 isoform X5 OS=Acinonyx jubatus OX=32536 GN=LOC106982579 PE=3 SV=1	Acinonyx jubatus	805
A0A485PMK2	Protein bicaudal d homolog 2 OS=Lynx pardinus OX=191816 GN=LYPA_23C007624 PE=3 SV=1	Lynx pardinus	805
A0A8C6FKH2	BICD cargo adaptor 2 OS=Moschus moschiferus OX=68415 GN=BICD2 PE=3 SV=1	Moschus moschiferus	805
A0A8C8XYN9	BICD cargo adaptor 2 OS=Panthera leo OX=9689 GN=BICD2 PE=3 SV=1	Panthera leo	805
L5JVR2	Protein bicaudal D like protein 2 OS=Pteropus alecto OX=9402 GN=PAL_GLEAN10003497 PE=3 SV=1	Pteropus alecto	848
A0A6J1XX77	inositol-pentakisphosphate 2-kinase OS=Acinonyx jubatus OX=32536 GN=LOC106982579 PE=3 SV=1	Acinonyx jubatus	1268
A0A6J1XXT5	inositol-pentakisphosphate 2-kinase OS=Acinonyx jubatus OX=32536 GN=LOC106982579 PE=3 SV=1	Acinonyx jubatus	961
A0A6J1XWW5	inositol-pentakisphosphate 2-kinase OS=Acinonyx jubatus OX=32536 GN=LOC106982579 PE=3 SV=1	Acinonyx jubatus	949
A0A6J1XX80	inositol-pentakisphosphate 2-kinase OS=Acinonyx jubatus OX=32536 GN=LOC106982579 PE=3 SV=1	Acinonyx jubatus	1101
A0A2Y9HK95	Protein bicaudal D homolog 2 isoform X2 OS=Neomonachus schauinslandi OX=29088 GN=BICD2 PE=3 SV=2	Neomonachus schauinslandi	800
A0A6P3R8Z7	Protein bicaudal D homolog 2 isoform X5 OS=Pteropus vampyrus OX=132908 GN=LOC105304687 PE=3 SV=1	Pteropus vampyrus	805
A0A8C8Y0B0	inositol-pentakisphosphate 2-kinase OS=Panthera leo OX=9689 GN=BICD2 PE=3 SV=1	Panthera leo	1268
A0A2Y9HKH9	Protein bicaudal D homolog 2 isoform X1 OS=Neomonachus schauinslandi OX=29088 GN=BICD2 PE=3 SV=2	Neomonachus schauinslandi	831
A0A6P6BTP4	inositol-pentakisphosphate 2-kinase OS=Pteropus vampyrus OX=132908 GN=LOC105304687 PE=3 SV=1	Pteropus vampyrus	1268
M3WRZ8	BICD cargo adaptor 2 OS=Felis catus OX=9685 GN=BICD2 PE=3 SV=3	Felis catus	804
A0A5F5XLE2	inositol-pentakisphosphate 2-kinase OS=Felis catus OX=9685 GN=BICD2 PE=3 SV=1	Felis catus	1267
L8I9V0	Protein bicaudal D-like protein 2 OS=Bos mutus OX=72004 GN=M91_09020 PE=3 SV=1	Bos mutus	843
A0A6I9IDL9	Protein bicaudal D homolog 2 isoform X1 OS=Vicugna pacos OX=30538 GN=BICD2 PE=3 SV=1	Vicugna pacos	827
A0A671EW61	BICD cargo adaptor 2 OS=Rhinolophus ferrumequinum OX=59479 GN=BICD2 PE=3 SV=1	Rhinolophus ferrumequinum	805
A0A6J0APU0	Protein bicaudal D homolog 2 isoform X2 OS=Vicugna pacos OX=30538 GN=BICD2 PE=3 SV=1	Vicugna pacos	796
A0A671EQR9	inositol-pentakisphosphate 2-kinase OS=Rhinolophus ferrumequinum OX=59479 GN=BICD2 PE=3 SV=1	Rhinolophus ferrumequinum	1268
A0A671ERL3	inositol-pentakisphosphate 2-kinase OS=Rhinolophus ferrumequinum OX=59479 GN=BICD2 PE=3 SV=1	Rhinolophus ferrumequinum	1217
A0A7J8IGG8	BICD cargo adaptor 2 OS=Rousettus aegyptiacus OX=9407 GN=HJG63_001475 PE=3 SV=1	Rousettus aegyptiacus	804
A0A7J8IFC3	BICD cargo adaptor 2 OS=Rousettus aegyptiacus OX=9407 GN=HJG63_001475 PE=3 SV=1	Rousettus aegyptiacus	835
A0A7J8BK37	BICD cargo adaptor 2 OS=Molossus molossus OX=27622 GN=HJG59_001484 PE=3 SV=1	Molossus molossus	801
A0A7J8BJH8	BICD cargo adaptor 2 OS=Molossus molossus OX=27622 GN=HJG59_001484 PE=3 SV=1	Molossus molossus	832
A0A8B7QC56	Protein bicaudal D homolog 2 isoform X3 OS=Hipposideros armiger OX=186990 GN=LOC109375243 PE=3 SV=1	Hipposideros armiger	805
A0A1S3WJ24	Protein bicaudal D homolog 2 isoform X1 OS=Erinaceus europaeus OX=9365 GN=BICD2 PE=3 SV=1	Erinaceus europaeus	796
A0A8B7QBC3	inositol-pentakisphosphate 2-kinase OS=Hipposideros armiger OX=186990 GN=LOC109375243 PE=3 SV=1	Hipposideros armiger	1268
A0A1S3A4J2	Protein bicaudal D homolog 2 isoform X2 OS=Erinaceus europaeus OX=9365 GN=BICD2 PE=3 SV=1	Erinaceus europaeus	827
A0A7J7QV05	BICD cargo adaptor 2 OS=Myotis myotis OX=51298 GN=mMyoMyo1_001472 PE=3 SV=1	Myotis myotis	801
A0A7J7QVB6	BICD cargo adaptor 2 OS=Myotis myotis OX=51298 GN=mMyoMyo1_001472 PE=3 SV=1	Myotis myotis	832
A0A5E4BXM4	Uncharacterized protein OS=Marmota monax OX=9995 GN=MONAX_5E033124 PE=3 SV=1	Marmota monax	753
A0A673UPS6	BICD cargo adaptor 2 OS=Suricata suricatta OX=37032 PE=3 SV=1	Suricata suricatta	797
A0A673UG52	BICD cargo adaptor 2 OS=Suricata suricatta OX=37032 PE=3 SV=1	Suricata suricatta	821
A0A673UNP4	inositol-pentakisphosphate 2-kinase OS=Suricata suricatta OX=37032 PE=3 SV=1	Suricata suricatta	1306
A0A673UPH9	inositol-pentakisphosphate 2-kinase OS=Suricata suricatta OX=37032 PE=3 SV=1	Suricata suricatta	887
