Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
30	TR	A0A8I3XBE7	inositol-pentakisphosphate 2-kinase OS=Callithrix jacchus OX=9483 GN=BICD2 PE=3 SV=1	Callithrix jacchus	1286	4011	98.4	98.5	0.0
31	TR	F7I792	BICD cargo adaptor 2 OS=Callithrix jacchus OX=9483 GN=BICD2 PE=3 SV=3	Callithrix jacchus	835	4011	98.4	98.5	0.0
32	TR	A0A8C8ZD55	BICD cargo adaptor 2 OS=Prolemur simus OX=1328070 GN=BICD2 PE=3 SV=1	Prolemur simus	824	4005	97.6	98.3	0.0
33	TR	A0A8C8ZC52	BICD cargo adaptor 2 OS=Prolemur simus OX=1328070 GN=BICD2 PE=3 SV=1	Prolemur simus	853	4002	97.5	98.3	0.0
34	TR	A0A2K6ETP4	BICD cargo adaptor 2 OS=Propithecus coquereli OX=379532 GN=BICD2 PE=3 SV=1	Propithecus coquereli	824	3991	97.2	97.9	0.0
35	TR	A0A2K6ETM8	BICD cargo adaptor 2 OS=Propithecus coquereli OX=379532 GN=BICD2 PE=3 SV=1	Propithecus coquereli	834	3991	97.2	97.9	0.0
36	TR	A0A2K6ETP5	BICD cargo adaptor 2 OS=Propithecus coquereli OX=379532 GN=BICD2 PE=3 SV=1	Propithecus coquereli	853	3988	97.1	97.9	0.0
37	TR	A0A2R9B954	BICD cargo adaptor 2 OS=Pan paniscus OX=9597 GN=BICD2 PE=3 SV=1	Pan paniscus	840	3977	97.8	98.1	0.0
38	TR	A0A8C5UYX2	BICD cargo adaptor 2 OS=Microcebus murinus OX=30608 GN=BICD2 PE=3 SV=1	Microcebus murinus	824	3976	96.8	97.7	0.0
39	TR	H0WL58	BICD cargo adaptor 2 OS=Otolemur garnettii OX=30611 GN=BICD2 PE=3 SV=1	Otolemur garnettii	861	3973	96.7	97.5	0.0
40	TR	A0A8C5VGF6	BICD cargo adaptor 2 OS=Microcebus murinus OX=30608 GN=BICD2 PE=3 SV=1	Microcebus murinus	853	3973	96.7	97.7	0.0
41	TR	A0A2K6ETR7	BICD cargo adaptor 2 OS=Propithecus coquereli OX=379532 GN=BICD2 PE=3 SV=1	Propithecus coquereli	832	3943	96.5	97.3	0.0
42	TR	A0A8C5KV80	BICD cargo adaptor 2 OS=Jaculus jaculus OX=51337 GN=Bicd2 PE=3 SV=1	Jaculus jaculus	857	3938	96.2	97.6	0.0
43	TR	A0A8D2CSG3	BICD cargo adaptor 2 OS=Sciurus vulgaris OX=55149 GN=BICD2 PE=3 SV=1	Sciurus vulgaris	825	3934	96.4	97.6	0.0
44	TR	A0A1S3G1D6	Protein bicaudal D homolog 2 isoform X2 OS=Dipodomys ordii OX=10020 GN=Bicd2 PE=3 SV=1	Dipodomys ordii	827	3926	96.0	97.1	0.0
45	TR	A0A1S3FZ92	Protein bicaudal D homolog 2 isoform X1 OS=Dipodomys ordii OX=10020 GN=Bicd2 PE=3 SV=1	Dipodomys ordii	858	3923	95.9	97.1	0.0
46	TR	A0A287DE24	BICD cargo adaptor 2 OS=Ictidomys tridecemlineatus OX=43179 GN=BICD2 PE=3 SV=1	Ictidomys tridecemlineatus	824	3923	96.4	97.3	0.0
47	TR	A0A287CW43	BICD cargo adaptor 2 OS=Ictidomys tridecemlineatus OX=43179 GN=BICD2 PE=3 SV=1	Ictidomys tridecemlineatus	855	3920	96.2	97.3	0.0
48	TR	I3NF79	BICD cargo adaptor 2 OS=Ictidomys tridecemlineatus OX=43179 GN=BICD2 PE=3 SV=2	Ictidomys tridecemlineatus	825	3919	96.4	97.3	0.0
49	TR	A0A5E4BZG0	Protein bicaudal D homolog 2 OS=Marmota monax OX=9995 GN=MONAX_5E033124 PE=3 SV=1	Marmota monax	824	3910	95.9	97.1	0.0
50	TR	A0A2K6TN39	BICD cargo adaptor 2 OS=Saimiri boliviensis boliviensis OX=39432 GN=BICD2 PE=3 SV=1	Saimiri boliviensis boliviensis	842	3908	97.5	97.8	0.0
51	TR	A0A5E4C0F8	BICD cargo adaptor 2 OS=Marmota monax OX=9995 GN=MONAX_5E033124 PE=3 SV=1	Marmota monax	855	3907	95.8	97.1	0.0
52	TR	A0A8D2HAY5	BICD cargo adaptor 2 OS=Urocitellus parryii OX=9999 GN=BICD2 PE=3 SV=1	Urocitellus parryii	819	3890	95.8	96.7	0.0
53	TR	A0A8C5Z2W4	BICD cargo adaptor 2 OS=Marmota marmota marmota OX=9994 GN=BICD2 PE=3 SV=1	Marmota marmota marmota	819	3880	95.4	96.5	0.0
54	TR	A0A8C5Z0B0	BICD cargo adaptor 2 OS=Marmota marmota marmota OX=9994 GN=BICD2 PE=3 SV=1	Marmota marmota marmota	850	3877	95.3	96.5	0.0
55	TR	A0A5F9CW65	BICD cargo adaptor 2 OS=Oryctolagus cuniculus OX=9986 GN=BICD2 PE=3 SV=1	Oryctolagus cuniculus	908	3872	94.9	96.8	0.0
56	TR	A0A6P3FV50	Protein bicaudal D homolog 2 isoform X2 OS=Octodon degus OX=10160 GN=Bicd2 PE=3 SV=1	Octodon degus	825	3871	94.9	96.6	0.0
57	SP	Q921C5	Protein bicaudal D homolog 2 OS=Mus musculus OX=10090 GN=Bicd2 PE=1 SV=1	Mus musculus	820	3869	94.8	96.4	0.0
58	TR	A0A8C2UHB7	BICD cargo adaptor 2 OS=Chinchilla lanigera OX=34839 GN=BICD2 PE=3 SV=1	Chinchilla lanigera	825	3869	94.9	96.2	0.0
59	TR	G1SZW5	BICD cargo adaptor 2 OS=Oryctolagus cuniculus OX=9986 GN=BICD2 PE=3 SV=1	Oryctolagus cuniculus	855	3869	94.8	96.8	0.0
60	TR	A0A6P3FI26	Protein bicaudal D homolog 2 isoform X1 OS=Octodon degus OX=10160 GN=Bicd2 PE=3 SV=1	Octodon degus	856	3868	94.8	96.6	0.0
61	SP	Q921C5-2	Isoform 2 of Protein bicaudal D homolog 2 OS=Mus musculus OX=10090 GN=Bicd2	Mus musculus	851	3866	94.7	96.4	0.0
62	TR	A0A8C6RZ62	BICD cargo adaptor 2 OS=Nannospalax galili OX=1026970 GN=Bicd2 PE=3 SV=1	Nannospalax galili	820	3864	94.9	96.4	0.0
63	TR	A0A1U7QHR6	Protein bicaudal D homolog 2 isoform X2 OS=Mesocricetus auratus OX=10036 GN=Bicd2 PE=3 SV=1	Mesocricetus auratus	820	3863	95.0	96.1	0.0
64	TR	H0VAM5	BICD cargo adaptor 2 OS=Cavia porcellus OX=10141 GN=BICD2 PE=3 SV=2	Cavia porcellus	825	3863	94.8	96.2	0.0
65	TR	A0A8C6RWW9	BICD cargo adaptor 2 OS=Nannospalax galili OX=1026970 GN=Bicd2 PE=3 SV=1	Nannospalax galili	853	3861	94.8	96.4	0.0
66	TR	A0A1U7QF80	Protein bicaudal D homolog 2 isoform X1 OS=Mesocricetus auratus OX=10036 GN=Bicd2 PE=3 SV=1	Mesocricetus auratus	851	3860	94.9	96.1	0.0
67	TR	A0A286XTY8	BICD cargo adaptor 2 OS=Cavia porcellus OX=10141 GN=BICD2 PE=3 SV=1	Cavia porcellus	856	3860	94.7	96.2	0.0
68	TR	A0A8C6N3W3	Protein bicaudal D homolog 2 OS=Mus spicilegus OX=10103 PE=3 SV=1	Mus spicilegus	820	3849	94.3	96.0	0.0
69	TR	A0A8C6IBM1	Protein bicaudal D homolog 2 OS=Mus spicilegus OX=10103 PE=3 SV=1	Mus spicilegus	820	3847	94.2	96.0	0.0
70	TR	A0A8C6IDC6	inositol-pentakisphosphate 2-kinase OS=Mus spicilegus OX=10103 PE=3 SV=1	Mus spicilegus	1281	3845	94.3	96.0	0.0
71	TR	A0A8J6KZS7	Protein bicaudal D-like protein 2 OS=Microtus ochrogaster OX=79684 GN=LTLLF_124620 PE=3 SV=1	Microtus ochrogaster	856	3839	94.1	95.6	0.0
72	TR	A0A6I9LXN9	BICD cargo adaptor 2 OS=Peromyscus maniculatus bairdii OX=230844 GN=Bicd2 PE=3 SV=1	Peromyscus maniculatus bairdii	819	3838	94.6	96.0	0.0
73	TR	A0A6I9M8M2	BICD cargo adaptor 2 OS=Peromyscus maniculatus bairdii OX=230844 GN=Bicd2 PE=3 SV=1	Peromyscus maniculatus bairdii	850	3835	94.4	96.0	0.0
74	TR	G3UHE4	BICD cargo adaptor 2 OS=Loxodonta africana OX=9785 GN=BICD2 PE=3 SV=1	Loxodonta africana	852	3827	93.7	95.4	0.0
75	TR	Q496Z1	BICD cargo adaptor 2 OS=Rattus norvegicus OX=10116 GN=Bicd2 PE=1 SV=1	Rattus norvegicus	851	3826	93.9	96.0	0.0
76	TR	A0A8J8Y893	BICD cargo adaptor 2 OS=Rattus norvegicus OX=10116 GN=Bicd2 PE=1 SV=1	Rattus norvegicus	837	3825	94.1	96.0	0.0
77	TR	A0A8C2UHC3	BICD cargo adaptor 2 OS=Chinchilla lanigera OX=34839 GN=BICD2 PE=3 SV=1	Chinchilla lanigera	851	3823	94.2	95.6	0.0
78	TR	A0A2Y9RIY0	Protein bicaudal D homolog 2 isoform X2 OS=Trichechus manatus latirostris OX=127582 GN=LOC101357736 PE=3 SV=1	Trichechus manatus latirostris	821	3818	93.4	95.4	0.0
79	TR	A0A2Y9DZD3	Protein bicaudal D homolog 2 isoform X1 OS=Trichechus manatus latirostris OX=127582 GN=LOC101357736 PE=3 SV=1	Trichechus manatus latirostris	852	3815	93.2	95.4	0.0
80	TR	A0A8B7U2W0	LOW QUALITY PROTEIN: protein bicaudal D homolog 2 OS=Castor canadensis OX=51338 GN=Bicd2 PE=3 SV=1	Castor canadensis	836	3802	93.8	95.2	0.0
81	TR	A0A9B0UB50	Protein bicaudal D homolog 2 OS=Chrysochloris asiatica OX=185453 GN=BICD2 PE=3 SV=1	Chrysochloris asiatica	852	3778	92.4	94.7	0.0
82	TR	A0A8B7AUA5	Protein bicaudal D homolog 2 OS=Orycteropus afer afer OX=1230840 GN=BICD2 PE=3 SV=1	Orycteropus afer afer	852	3750	92.3	93.8	0.0
83	TR	G3RH83	BICD cargo adaptor 2 OS=Gorilla gorilla gorilla OX=9595 GN=BICD2 PE=3 SV=2	Gorilla gorilla gorilla	830	3705	95.3	97.0	0.0
84	TR	A0A2I2YFW5	BICD cargo adaptor 2 OS=Gorilla gorilla gorilla OX=9595 GN=BICD2 PE=3 SV=1	Gorilla gorilla gorilla	746	3701	99.9	100.0	0.0
85	TR	H2QXG9	BICD cargo adaptor 2 OS=Pan troglodytes OX=9598 GN=BICD2 PE=3 SV=2	Pan troglodytes	818	3700	96.4	97.7	0.0
86	TR	A0A2I3S8V7	BICD cargo adaptor 2 OS=Pan troglodytes OX=9598 GN=BICD2 PE=3 SV=1	Pan troglodytes	824	3695	99.9	99.9	0.0
87	TR	A0A340Y4R0	Protein bicaudal D homolog 2 isoform X2 OS=Lipotes vexillifer OX=118797 GN=BICD2 PE=3 SV=1	Lipotes vexillifer	805	3694	91.7	93.8	0.0
88	TR	A0A2Y9FHT0	Protein bicaudal D homolog 2 isoform X2 OS=Physeter macrocephalus OX=9755 GN=BICD2 PE=3 SV=1	Physeter macrocephalus	805	3694	91.9	94.1	0.0
89	TR	A0A2I3TMN5	BICD cargo adaptor 2 OS=Pan troglodytes OX=9598 GN=BICD2 PE=3 SV=1	Pan troglodytes	855	3692	99.7	99.9	0.0
90	TR	A0A340Y779	Protein bicaudal D homolog 2 isoform X1 OS=Lipotes vexillifer OX=118797 GN=BICD2 PE=3 SV=1	Lipotes vexillifer	836	3691	91.6	93.8	0.0
91	TR	A0A2Y9FJL0	Protein bicaudal D homolog 2 isoform X1 OS=Physeter macrocephalus OX=9755 GN=BICD2 PE=3 SV=1	Physeter macrocephalus	836	3691	91.7	94.1	0.0
92	TR	A0A8C9BDV3	BICD cargo adaptor 2 OS=Phocoena sinus OX=42100 GN=BICD2 PE=3 SV=1	Phocoena sinus	805	3686	91.7	93.7	0.0
93	TR	A0A341AFQ9	Protein bicaudal D homolog 2 isoform X2 OS=Neophocaena asiaeorientalis asiaeorientalis OX=1706337 GN=BICD2 PE=3 SV=1	Neophocaena asiaeorientalis asiaeorientalis	805	3682	91.6	93.6	0.0
94	TR	A0A2U4BSE2	Protein bicaudal D homolog 2 isoform X2 OS=Tursiops truncatus OX=9739 GN=BICD2 PE=3 SV=1	Tursiops truncatus	805	3682	91.5	93.8	0.0
95	TR	A0A2Y9MDG5	Protein bicaudal D homolog 2 isoform X2 OS=Delphinapterus leucas OX=9749 GN=BICD2 PE=3 SV=1	Delphinapterus leucas	805	3681	91.6	93.7	0.0
96	TR	A0A8B8XNM3	Protein bicaudal D homolog 2 isoform X2 OS=Balaenoptera musculus OX=9771 GN=BICD2 PE=3 SV=1	Balaenoptera musculus	805	3681	91.6	93.7	0.0
97	TR	A0A341AGJ8	Protein bicaudal D homolog 2 isoform X1 OS=Neophocaena asiaeorientalis asiaeorientalis OX=1706337 GN=BICD2 PE=3 SV=1	Neophocaena asiaeorientalis asiaeorientalis	836	3679	91.5	93.6	0.0
98	TR	A0A2U3V9E1	Protein bicaudal D homolog 2 isoform X1 OS=Tursiops truncatus OX=9739 GN=BICD2 PE=3 SV=1	Tursiops truncatus	836	3679	91.4	93.8	0.0
99	TR	A0A2Y9MMK3	Protein bicaudal D homolog 2 isoform X1 OS=Delphinapterus leucas OX=9749 GN=BICD2 PE=3 SV=1	Delphinapterus leucas	836	3678	91.5	93.7	0.0
100	TR	A0A8B8XPM2	Protein bicaudal D homolog 2 isoform X1 OS=Balaenoptera musculus OX=9771 GN=BICD2 PE=3 SV=1	Balaenoptera musculus	836	3678	91.5	93.7	0.0
101	TR	A0A2K6TN59	BICD cargo adaptor 2 OS=Saimiri boliviensis boliviensis OX=39432 GN=BICD2 PE=3 SV=1	Saimiri boliviensis boliviensis	749	3677	98.9	98.9	0.0
102	TR	A0A2K5HPN0	BICD cargo adaptor 2 OS=Colobus angolensis palliatus OX=336983 PE=3 SV=1	Colobus angolensis palliatus	746	3676	99.1	99.5	0.0
103	TR	A0A2K5HPQ3	BICD cargo adaptor 2 OS=Colobus angolensis palliatus OX=336983 PE=3 SV=1	Colobus angolensis palliatus	819	3676	98.8	99.3	0.0
104	TR	A0A8I3WW51	BICD cargo adaptor 2 OS=Callithrix jacchus OX=9483 GN=BICD2 PE=3 SV=1	Callithrix jacchus	877	3676	98.4	98.5	0.0
105	TR	A0A2K6TN32	BICD cargo adaptor 2 OS=Saimiri boliviensis boliviensis OX=39432 GN=BICD2 PE=3 SV=1	Saimiri boliviensis boliviensis	780	3674	98.8	98.9	0.0
106	TR	A0A2K5XQC5	BICD cargo adaptor 2 OS=Mandrillus leucophaeus OX=9568 GN=BICD2 PE=3 SV=1	Mandrillus leucophaeus	746	3674	99.1	99.3	0.0
107	TR	A0A8M1F2K9	Protein bicaudal D homolog 2 isoform X3 OS=Ursus maritimus OX=29073 GN=BICD2 PE=3 SV=1	Ursus maritimus	805	3670	91.3	93.7	0.0
108	TR	A0A452RFE6	BICD cargo adaptor 2 OS=Ursus americanus OX=9643 GN=BICD2 PE=3 SV=1	Ursus americanus	836	3667	91.1	93.7	0.0
109	TR	A0A8M1EYW7	Protein bicaudal D homolog 2 isoform X1 OS=Ursus maritimus OX=29073 GN=BICD2 PE=3 SV=1	Ursus maritimus	836	3667	91.1	93.7	0.0
110	TR	A0A8M1F607	Protein bicaudal D homolog 2 isoform X2 OS=Ursus maritimus OX=29073 GN=BICD2 PE=3 SV=1	Ursus maritimus	808	3666	91.3	93.7	0.0
111	TR	A0A2Y9K4V0	Protein bicaudal D homolog 2 isoform X2 OS=Enhydra lutris kenyoni OX=391180 GN=LOC111153542 PE=3 SV=1	Enhydra lutris kenyoni	805	3666	91.1	93.4	0.0
112	TR	A0A8U0N3U7	Protein bicaudal D homolog 2 isoform X2 OS=Mustela putorius furo OX=9669 GN=BICD2 PE=3 SV=1	Mustela putorius furo	805	3665	91.1	93.6	0.0
113	TR	A0A2Y9KFZ6	Protein bicaudal D homolog 2 isoform X1 OS=Enhydra lutris kenyoni OX=391180 GN=LOC111153542 PE=3 SV=1	Enhydra lutris kenyoni	836	3663	91.0	93.4	0.0
114	TR	A0A8C7BG64	BICD cargo adaptor 2 OS=Neovison vison OX=452646 GN=BICD2 PE=3 SV=1	Neovison vison	805	3662	91.2	93.6	0.0
115	TR	M3XZI8	BICD cargo adaptor 2 OS=Mustela putorius furo OX=9669 GN=BICD2 PE=3 SV=1	Mustela putorius furo	836	3662	91.0	93.6	0.0
116	TR	A0A8C7BQG2	BICD cargo adaptor 2 OS=Neovison vison OX=452646 GN=BICD2 PE=3 SV=1	Neovison vison	836	3659	91.1	93.6	0.0
117	TR	A0A8C3X9S7	BICD cargo adaptor 2 OS=Catagonus wagneri OX=51154 GN=BICD2 PE=3 SV=1	Catagonus wagneri	805	3659	91.3	93.7	0.0
118	TR	A0A8I3PLU4	BICD cargo adaptor 2 OS=Canis lupus familiaris OX=9615 GN=BICD2 PE=3 SV=1	Canis lupus familiaris	805	3658	90.9	93.3	0.0
119	TR	A0A3Q7R4A2	Protein bicaudal D homolog 2 isoform X2 OS=Vulpes vulpes OX=9627 GN=BICD2 PE=3 SV=1	Vulpes vulpes	805	3657	90.9	93.2	0.0
120	TR	A0A8I3PLZ6	BICD cargo adaptor 2 OS=Canis lupus familiaris OX=9615 GN=BICD2 PE=3 SV=1	Canis lupus familiaris	836	3655	90.8	93.3	0.0
121	TR	A0A8C0K617	BICD cargo adaptor 2 OS=Canis lupus dingo OX=286419 GN=BICD2 PE=3 SV=1	Canis lupus dingo	836	3655	90.8	93.3	0.0
122	TR	G1S3E3	BICD cargo adaptor 2 OS=Nomascus leucogenys OX=61853 GN=BICD2 PE=3 SV=2	Nomascus leucogenys	834	3654	98.7	98.9	0.0
123	TR	A0A9L0RUD6	BICD cargo adaptor 2 OS=Equus caballus OX=9796 GN=BICD2 PE=3 SV=1	Equus caballus	892	3654	91.0	93.2	0.0
124	TR	A0A3Q7RDD7	Protein bicaudal D homolog 2 isoform X1 OS=Vulpes vulpes OX=9627 GN=BICD2 PE=3 SV=1	Vulpes vulpes	836	3654	90.8	93.2	0.0
125	TR	A0A8C4M3Y5	BICD cargo adaptor 2 OS=Equus asinus OX=9793 GN=BICD2 PE=3 SV=2	Equus asinus	805	3653	91.0	93.2	0.0
126	TR	A0A484GY96	BICD cargo adaptor 2 OS=Sousa chinensis OX=103600 GN=DBR06_SOUSAS26010022 PE=3 SV=1	Sousa chinensis	843	3653	90.5	92.9	0.0
127	TR	A0A9L0TH97	BICD cargo adaptor 2 OS=Equus caballus OX=9796 GN=BICD2 PE=3 SV=1	Equus caballus	832	3652	90.9	93.2	0.0
128	TR	A0A2K5E699	BICD cargo adaptor 2 OS=Aotus nancymaae OX=37293 GN=BICD2 PE=3 SV=1	Aotus nancymaae	779	3651	98.9	99.1	0.0
129	TR	A0A2U3VFW9	Protein bicaudal D homolog 2 isoform X2 OS=Odobenus rosmarus divergens OX=9708 GN=BICD2 PE=3 SV=1	Odobenus rosmarus divergens	805	3650	90.7	93.2	0.0
130	TR	A0A9L0IXN5	BICD cargo adaptor 2 OS=Equus asinus OX=9793 GN=BICD2 PE=3 SV=1	Equus asinus	836	3650	90.9	93.2	0.0
131	TR	A0A3Q7QPJ3	Protein bicaudal D homolog 2 isoform X2 OS=Callorhinus ursinus OX=34884 GN=LOC112838951 PE=3 SV=1	Callorhinus ursinus	805	3650	90.8	93.2	0.0
132	TR	A0A2U3VGB6	Protein bicaudal D homolog 2 isoform X1 OS=Odobenus rosmarus divergens OX=9708 GN=BICD2 PE=3 SV=1	Odobenus rosmarus divergens	836	3647	90.5	93.2	0.0
133	TR	A0A3Q7QPA9	Protein bicaudal D homolog 2 isoform X1 OS=Callorhinus ursinus OX=34884 GN=LOC112838908 PE=3 SV=1	Callorhinus ursinus	836	3647	90.7	93.2	0.0
134	TR	A0A2K6TN45	BICD cargo adaptor 2 OS=Saimiri boliviensis boliviensis OX=39432 GN=BICD2 PE=3 SV=1	Saimiri boliviensis boliviensis	779	3645	98.8	98.9	0.0
135	TR	A0A6J0WQN4	Protein bicaudal D homolog 2 isoform X2 OS=Odocoileus virginianus texanus OX=9880 GN=BICD2 PE=3 SV=1	Odocoileus virginianus texanus	805	3641	90.5	92.8	0.0
136	TR	A0A2K5RC91	BICD cargo adaptor 2 OS=Cebus imitator OX=2715852 PE=3 SV=1	Cebus imitator	779	3640	98.5	98.8	0.0
137	TR	A0A811ZSV7	(raccoon dog) hypothetical protein OS=Nyctereutes procyonoides OX=34880 GN=NYPRO_LOCUS24776 PE=3 SV=1	Nyctereutes procyonoides	945	3639	90.4	93.1	0.0
138	TR	A0A287AJT8	BICD cargo adaptor 2 OS=Sus scrofa OX=9823 GN=BICD2 PE=3 SV=1	Sus scrofa	836	3639	90.7	93.2	0.0
139	TR	A0A452FM02	BICD cargo adaptor 2 OS=Capra hircus OX=9925 GN=BICD2 PE=3 SV=1	Capra hircus	808	3638	90.5	92.7	0.0
140	TR	A0A6J0WMA1	Protein bicaudal D homolog 2 isoform X1 OS=Odocoileus virginianus texanus OX=9880 GN=BICD2 PE=3 SV=1	Odocoileus virginianus texanus	836	3638	90.4	92.8	0.0
141	TR	G1M4N7	BICD cargo adaptor 2 OS=Ailuropoda melanoleuca OX=9646 GN=BICD2 PE=3 SV=2	Ailuropoda melanoleuca	805	3636	90.4	92.8	0.0
142	TR	A0A7N5K3G8	BICD cargo adaptor 2 OS=Ailuropoda melanoleuca OX=9646 GN=BICD2 PE=3 SV=1	Ailuropoda melanoleuca	868	3636	90.4	92.8	0.0
143	TR	A0A6P6IGP9	Protein bicaudal D homolog 2 isoform X2 OS=Puma concolor OX=9696 GN=BICD2 PE=3 SV=1	Puma concolor	805	3635	90.5	93.1	0.0
144	TR	A0A8B9XKX0	BICD cargo adaptor 2 OS=Bos mutus grunniens OX=30521 GN=BICD2 PE=3 SV=1	Bos mutus grunniens	805	3634	90.4	92.6	0.0
145	TR	G3N3P0	BICD cargo adaptor 2 OS=Bos taurus OX=9913 GN=BICD2 PE=3 SV=2	Bos taurus	805	3634	90.4	92.6	0.0
146	TR	A0A4W2G2Q6	BICD cargo adaptor 2 OS=Bos indicus x Bos taurus OX=30522 GN=BICD2 PE=3 SV=1	Bos indicus x Bos taurus	805	3634	90.4	92.6	0.0
